tempo, paciente ângulo, desejado ângulo, Acertos, Pontuação
24.394,179.583623,92.099875,-,40,
24.592,179.595344,91.259925,-,40,
24.592,179.595344,91.259925,-,40,
24.794,179.5757,90.755955,-,40,
24.794,179.5757,90.755955,-,40,
24.991,179.585891,90.453573,-,40,
24.991,179.585891,90.453573,-,40,
25.191,179.493792,90.272144,-,40,
25.191,179.493792,90.272144,Erro,40,
25.191,179.493792,90.272144,-,40,
25.391,179.4696,90.163286,-,40,
25.391,179.4696,90.163286,-,40,
25.591,179.501032,90.097972,-,40,
25.591,179.501032,90.097972,-,40,
25.791,179.600726,90.058783,-,40,
25.791,179.600726,90.058783,-,40,
25.99,179.620533,90.03527,-,40,
25.99,179.620533,90.03527,-,40,
26.191,179.499543,90.021162,-,40,
26.191,179.499543,90.021162,Erro,40,
29.591,179.673481,90.021162,-,0,
29.791,179.627924,90.021162,-,0,
29.791,179.627924,90.021162,-,0,
29.991,179.681049,90.021162,-,0,
29.991,179.681049,90.021162,-,0,
30.191,179.556507,90.021162,-,0,
30.191,179.556507,90.021162,-,0,
30.391,179.569143,90.021162,-,0,
30.391,179.569143,90.021162,-,0,
30.591,179.617159,90.021162,-,0,
30.591,179.617159,90.021162,-,0,
30.791,179.571575,90.021162,-,0,
30.791,179.571575,90.021162,-,0,
30.991,179.526714,90.021162,-,0,
30.991,179.526714,90.021162,-,0,
31.191,179.571151,90.021162,-,0,
31.191,179.571151,90.021162,-,0,
31.391,179.58671,90.021162,-,0,
31.391,179.58671,90.021162,-,0,
31.591,179.524487,90.021162,-,0,
31.591,179.524487,90.021162,-,0,
31.791,179.597966,54.012697,-,0,
31.791,179.597966,54.012697,-,0,
31.991,179.603772,32.407618,-,0,
31.991,179.603772,32.407618,-,0,
32.191,179.585385,19.444571,-,0,
32.191,179.585385,19.444571,-,0,
32.391,179.53976,11.666743,-,0,
32.391,179.53976,11.666743,-,0,
32.591,179.643524,7.000046,-,0,
32.591,179.643524,7.000046,-,0,
32.791,179.623566,4.200027,-,0,
32.791,179.623566,4.200027,-,0,
32.991,179.550592,2.520016,-,0,
32.991,179.550592,2.520016,-,0,
33.191,179.510239,1.51201,-,0,
33.191,179.510239,1.51201,-,0,
33.391,179.534842,0.907206,-,0,
33.391,179.534842,0.907206,Erro,0,
33.391,179.534842,0.907206,-,0,
33.591,179.558092,0.907206,-,0,
33.591,179.558092,0.907206,-,0,
33.791,179.547778,72.544324,-,0,
33.791,179.547778,72.544324,-,0,
33.991,179.596655,115.526594,-,0,
33.991,179.596655,115.526594,-,0,
34.191,179.619345,141.315956,-,0,
34.191,179.619345,141.315956,-,0,
34.391,179.525512,156.789574,-,0,
34.391,179.525512,156.789574,-,0,
34.591,179.528449,166.073744,-,0,
34.591,179.528449,166.073744,-,0,
34.791,179.53659,171.644247,-,0,
34.791,179.53659,171.644247,-,0,
34.991,179.508341,174.986548,-,0,
34.991,179.508341,174.986548,-,0,
34.991,179.508341,174.986548,Acerto,10,
35.191,179.554048,174.986548,-,10,
35.191,179.554048,174.986548,-,10,
35.391,179.660709,174.986548,-,10,
35.391,179.660709,174.986548,-,10,
35.591,179.56066,174.986548,-,10,
35.591,179.56066,174.986548,-,10,
35.791,179.617391,140.991929,-,10,
35.791,179.617391,140.991929,-,10,
35.991,179.584866,120.595157,-,10,
35.991,179.584866,120.595157,-,10,
36.191,179.637472,108.357094,-,10,
36.191,179.637472,108.357094,-,10,
36.391,179.586615,101.014257,-,10,
36.391,179.586615,101.014257,-,10,
36.591,179.502057,96.608554,-,10,
36.591,179.502057,96.608554,-,10,
36.791,179.57641,93.965132,-,10,
36.791,179.57641,93.965132,-,10,
36.991,179.6069,92.379079,-,10,
36.991,179.6069,92.379079,-,10,
37.191,179.645696,91.427448,-,10,
37.191,179.645696,91.427448,-,10,
37.391,179.612242,90.856469,-,10,
37.391,179.612242,90.856469,-,10,
37.391,179.612242,90.856469,Erro,10,
